,preferredLabel_x,Reduced_pref_seperate_en,Reduced_pref_com,Reduced_pref_obj,Reduced_pref_amod
2752,evaluate own dance abilities,"['dance abilities_com', 'No change', 'own dance abilities_amod']",dance abilities_com,No change,own dance abilities_amod
2756,colours of roasted malt,"['No change', 'No change', 'roasted malt_amod']",No change,No change,roasted malt_amod
2757,assist with vaccination procedures,"['vaccination procedures_com', 'No change', 'No change']",vaccination procedures_com,No change,No change
2758,alloys of precious metals,"['No change', 'No change', 'precious metals_amod']",No change,No change,precious metals_amod
2760,quality and cycle time optimisation,"['time optimisation_com', 'No change', 'No change']",time optimisation_com,No change,No change
2761,fermentation process of tobacco leaves,"['fermentation process_com', 'No change', 'No change']",fermentation process_com,No change,No change
2762,encourage teams for continuous improvement,"['No change', 'encourage teams_obj', 'continuous improvement_amod']",No change,encourage teams_obj,continuous improvement_amod
2763,advise customers on wood products,"['wood products_com', 'advise customers_obj', 'No change']",wood products_com,advise customers_obj,No change
2764,advise on building matters,"['building matters_com', 'No change', 'No change']",building matters_com,No change,No change
2770,special needs learning equipment,"['needs learning equipment_com', 'No change', 'special needs_amod']",needs learning equipment_com,No change,special needs_amod
2772,set up advertising material,"['advertising material_com', 'No change', 'No change']",advertising material_com,No change,No change
2773,teach train driving principles,"['driving principles_com', 'No change', 'No change']",driving principles_com,No change,No change
2774,edit dictated medical texts,"['No change', 'dictated medical texts_obj', 'medical texts_amod']",No change,dictated medical texts_obj,medical texts_amod
2775,types of asphalt coverings,"['asphalt coverings_com', 'No change', 'No change']",asphalt coverings_com,No change,No change
2776,switch tunnel boring machine modes,"['machine modes_com', 'No change', 'No change']",machine modes_com,No change,No change
2777,operate electric embossing press,"['No change', 'No change', 'electric embossing press_amod']",No change,No change,electric embossing press_amod
2778,recognise patients' reaction to therapy,"['No change', ""recognise patients ' reaction_obj"", 'No change']",No change,recognise patients ' reaction_obj,No change
2779,remove wax from honeycombs,"['No change', 'remove wax_obj', 'No change']",No change,remove wax_obj,No change
2780,analyse call centre activities,"['No change', 'No change', 'No change']",No change,No change,No change
2783,advise on bridge replacement,"['bridge replacement_com', 'No change', 'No change']",bridge replacement_com,No change,No change
2784,hospitalised animal nursing care,"['animal nursing care_com', 'No change', 'hospitalised animal_amod']",animal nursing care_com,No change,hospitalised animal_amod
2785,use riverspeak to communicate,"['No change', 'use riverspeak_obj', 'No change']",No change,use riverspeak_obj,No change
2786,train dental technician staff,"['technician staff_com', 'No change', 'dental technician staff_amod']",technician staff_com,No change,dental technician staff_amod
2787,add elocution techniques to recording audio materials,"['elocution techniques_com', 'No change', 'audio materials_amod']",elocution techniques_com,No change,audio materials_amod
2788,manage mine site data,"['mine site data_com', 'No change', 'No change']",mine site data_com,No change,No change
2792,find new types of food & beverages,"['No change', 'find new types_obj', 'new types of food & beverages_amod']",No change,find new types_obj,new types of food & beverages_amod
2793,calculate costs for animal embryo transfer,"['animal embryo transfer_com', 'calculate costs_obj', 'No change']",animal embryo transfer_com,calculate costs_obj,No change
2795,use specialised design software,"['design software_com', 'No change', 'specialised design software_amod']",design software_com,No change,specialised design software_amod
2796,provide early intervention therapy to infants,"['intervention therapy_com', 'provide early intervention therapy_obj', 'early intervention therapy to infants_amod']",intervention therapy_com,provide early intervention therapy_obj,early intervention therapy to infants_amod
2801,observe abnormal fish behaviour,"['fish behaviour_com', 'No change', 'abnormal fish behaviour_amod']",fish behaviour_com,No change,abnormal fish behaviour_amod
2803,repair vehicle electrical systems,"['No change', 'No change', 'electrical systems_amod']",No change,No change,electrical systems_amod
2806,manage clients' money matters,"['money matters_com', 'No change', 'No change']",money matters_com,No change,No change
2809,use computer-aided engineering systems,"['engineering systems_com', 'No change', 'computer-aided engineering systems_amod']",engineering systems_com,No change,computer-aided engineering systems_amod
2810,apply techniques for stacking goods into containers,"['No change', 'apply techniques for stacking goods_obj', 'No change']",No change,apply techniques for stacking goods_obj,No change
2812,provide specialist pharmaceutical care,"['No change', 'No change', 'specialist pharmaceutical care_amod']",No change,No change,specialist pharmaceutical care_amod
2813,types of bedding materials,"['bedding materials_com', 'No change', 'No change']",bedding materials_com,No change,No change
2814,operate maritime communication equipment,"['communication equipment_com', 'No change', 'maritime communication equipment_amod']",communication equipment_com,No change,maritime communication equipment_amod
2815,use intense pulsed light technology,"['No change', 'No change', 'intense pulsed light technology_amod']",No change,No change,intense pulsed light technology_amod
2816,safely interact with animals,"['No change', 'No change', 'No change']",No change,No change,No change
2820,assist people trapped in confined spaces,"['No change', 'No change', 'assist people_amod']",No change,No change,assist people_amod
2821,provide arts coaching sessions,"['arts coaching sessions_com', 'No change', 'No change']",arts coaching sessions_com,No change,No change
2826,pre-flight procedures for IFR flights,"['IFR flights_com', 'No change', 'flight procedures for IFR flights_amod']",IFR flights_com,No change,flight procedures for IFR flights_amod
2827,monitor the validity of ship certificates,"['ship certificates_com', 'monitor the validity_obj', 'No change']",ship certificates_com,monitor the validity_obj,No change
2831,perform physical stress tests on models,"['stress tests_com', 'perform physical stress tests_obj', 'physical stress tests on models_amod']",stress tests_com,perform physical stress tests_obj,physical stress tests on models_amod
2834,perform clinical research in radiography,"['No change', 'perform clinical research_obj', 'clinical research in radiography_amod']",No change,perform clinical research_obj,clinical research in radiography_amod
2836,show consideration for student's situation,"['No change', 'show consideration_obj', 'No change']",No change,show consideration_obj,No change
2837,maintain relationship with suppliers,"['No change', 'maintain relationship_obj', 'No change']",No change,maintain relationship_obj,No change
2848,cool candles in baths,"['No change', 'No change', 'cool candles_amod']",No change,No change,cool candles_amod
2850,develop dried-on-vine raisin production systems,"['raisin production systems_com', 'No change', 'No change']",raisin production systems_com,No change,No change
2852,supervise loading of cargo,"['No change', 'supervise loading_obj', 'No change']",No change,supervise loading_obj,No change
2854,test for emotional patterns,"['No change', 'No change', 'emotional patterns_amod']",No change,No change,emotional patterns_amod
2855,comply with legal regulations,"['No change', 'No change', 'legal regulations_amod']",No change,No change,legal regulations_amod
2862,handle larval weaning process in nursery stage,"['nursery stage_com', 'handle larval weaning process_obj', 'larval weaning process in nursery stage_amod']",nursery stage_com,handle larval weaning process_obj,larval weaning process in nursery stage_amod
2863,position tobacco products in machines,"['tobacco products_com', 'position tobacco products_obj', 'No change']",tobacco products_com,position tobacco products_obj,No change
2864,apply thermite welding techniques,"['thermite welding techniques_com', 'No change', 'No change']",thermite welding techniques_com,No change,No change
2866,toys and games categories,"['games categories_com', 'No change', 'No change']",games categories_com,No change,No change
2870,grow cultures used in monitoring experiments,"['No change', 'No change', 'No change']",No change,No change,No change
2875,contribute to protecting individuals from harm,"['No change', 'contribute to protecting individuals_obj', 'No change']",No change,contribute to protecting individuals_obj,No change
2878,monitor parameters' compliance in construction projects,"['construction projects_com', ""monitor parameters ' compliance_obj"", 'No change']",construction projects_com,monitor parameters ' compliance_obj,No change
2879,adapt to changes on a boat,"['No change', 'No change', 'No change']",No change,No change,No change
2880,assess breaches of licence agreements,"['licence agreements_com', 'assess breaches_obj', 'No change']",licence agreements_com,assess breaches_obj,No change
2882,set up photographic equipment,"['No change', 'No change', 'photographic equipment_amod']",No change,No change,photographic equipment_amod
2883,operate water purifying equipment,"['water purifying equipment_com', 'No change', 'No change']",water purifying equipment_com,No change,No change
2886,organise transportation for clients,"['No change', 'organise transportation_obj', 'No change']",No change,organise transportation_obj,No change
2887,teach principles of architectural design,"['No change', 'teach principles_obj', 'architectural design_amod']",No change,teach principles_obj,architectural design_amod
2890,ensure the longevity of the fight actions,"['fight actions_com', 'ensure the longevity_obj', 'No change']",fight actions_com,ensure the longevity_obj,No change
2892,advise on soil and water protection,"['No change', 'No change', 'No change']",No change,No change,No change
2897,practise veterinary professional codes of conduct,"['No change', 'practise veterinary professional codes_obj', 'veterinary professional codes of conduct_amod']",No change,practise veterinary professional codes_obj,veterinary professional codes of conduct_amod
2899,liaise with union officials,"['union officials_com', 'No change', 'No change']",union officials_com,No change,No change
2905,manage vessel engines and systems,"['vessel engines_com', 'manage vessel engines_obj', 'No change']",vessel engines_com,manage vessel engines_obj,No change
2906,lead managers of company departments,"['company departments_com', 'No change', 'lead managers_amod']",company departments_com,No change,lead managers_amod
2907,collaborate in the drafting of policies,"['No change', 'No change', 'No change']",No change,No change,No change
2908,determine marketability of second-hand goods,"['second-hand goods_com', 'determine marketability_obj', 'No change']",second-hand goods_com,determine marketability_obj,No change
2909,medical device test procedures,"['device test procedures_com', 'No change', 'medical device_amod']",device test procedures_com,No change,medical device_amod
2910,printed circuit boards testing methods,"['circuit boards testing methods_com', 'No change', 'printed circuit_amod']",circuit boards testing methods_com,No change,printed circuit_amod
2911,develop educational materials on art therapy,"['art therapy_com', 'develop educational materials_obj', 'educational materials on art therapy_amod']",art therapy_com,develop educational materials_obj,educational materials on art therapy_amod
2913,analyse large-scale data in healthcare,"['large-scale data_com', 'analyse large-scale data_obj', 'No change']",large-scale data_com,analyse large-scale data_obj,No change
2914,prepare financial auditing reports,"['auditing reports_com', 'No change', 'financial auditing reports_amod']",auditing reports_com,No change,financial auditing reports_amod
2922,implement relevant tactical skills to perform at the highest level in sport,"['No change', 'implement relevant tactical skills_obj', 'relevant tactical skills to perform at the highest level in sport_amod']",No change,implement relevant tactical skills_obj,relevant tactical skills to perform at the highest level in sport_amod
2924,monitor manufacturing quality standards,"['quality standards_com', 'No change', 'manufacturing quality standards_amod']",quality standards_com,No change,manufacturing quality standards_amod
2928,assess risks of clients' assets,"['No change', 'assess risks_obj', 'No change']",No change,assess risks_obj,No change
2929,origin of dietary fats and oils,"['No change', 'No change', 'dietary fats and oils_amod']",No change,No change,dietary fats and oils_amod
2930,ensure longevity of choreography,"['No change', 'ensure longevity_obj', 'No change']",No change,ensure longevity_obj,No change
2933,record license plates of violators,"['record license plates_com', 'No change', 'No change']",record license plates_com,No change,No change
2934,empathise with the woman's family during and after pregnancy,"['No change', 'No change', 'No change']",No change,No change,No change
2935,safely instruct about fitness,"['No change', 'No change', 'No change']",No change,No change,No change
2937,develop visitor engagement strategies,"['visitor engagement strategies_com', 'No change', 'No change']",visitor engagement strategies_com,No change,No change
2940,avoid tear-out in woodworking,"['tear-out_com', 'avoid tear-out_obj', 'No change']",tear-out_com,avoid tear-out_obj,No change
2942,offer cosmetic beauty advice,"['beauty advice_com', 'No change', 'cosmetic beauty advice_amod']",beauty advice_com,No change,cosmetic beauty advice_amod
2945,use authentic crafting techniques,"['No change', 'No change', 'authentic crafting techniques_amod']",No change,No change,authentic crafting techniques_amod
2949,advise customers on clocks,"['No change', 'advise customers_obj', 'No change']",No change,advise customers_obj,No change
2951,advise on funeral services,"['No change', 'No change', 'funeral services_amod']",No change,No change,funeral services_amod
2955,teach ESOL language class,"['ESOL language class_com', 'No change', 'No change']",ESOL language class_com,No change,No change
2956,describe your artistic aspirations in relation to artistic trends,"['No change', 'describe your artistic aspirations_obj', 'artistic aspirations in relation to artistic trends_amod']",No change,describe your artistic aspirations_obj,artistic aspirations in relation to artistic trends_amod
2958,injection moulding machine parts,"['No change', 'No change', 'No change']",No change,No change,No change
2959,maintain service record book,"['service record book_com', 'No change', 'No change']",service record book_com,No change,No change
2960,study prices of wood products,"['study prices_com', 'No change', 'No change']",study prices_com,No change,No change
2961,components of oil seeds,"['oil seeds_com', 'No change', 'No change']",oil seeds_com,No change,No change
2964,solve bank account problems,"['bank account problems_com', 'No change', 'No change']",bank account problems_com,No change,No change
2967,provide information on study programmes,"['study programmes_com', 'provide information_obj', 'No change']",study programmes_com,provide information_obj,No change
2968,weigh raw materials at reception,"['No change', 'weigh raw materials_obj', 'raw materials at reception_amod']",No change,weigh raw materials_obj,raw materials at reception_amod
2970,perform repertoire for therapeutic purposes,"['No change', 'perform repertoire_obj', 'therapeutic purposes_amod']",No change,perform repertoire_obj,therapeutic purposes_amod
2975,advise on livestock disease control,"['livestock disease control_com', 'No change', 'No change']",livestock disease control_com,No change,No change
2980,provide feedback on job performance,"['job performance_com', 'provide feedback_obj', 'No change']",job performance_com,provide feedback_obj,No change
2984,apply development process to footwear design,"['development process_com', 'No change', 'No change']",development process_com,No change,No change
2985,provide a psychotherapeutic environment,"['No change', 'No change', 'psychotherapeutic environment_amod']",No change,No change,psychotherapeutic environment_amod
2992,restore natural environment after drilling proofs,"['drilling proofs_com', 'restore natural environment_obj', 'natural environment after drilling proofs_amod']",drilling proofs_com,restore natural environment_obj,natural environment after drilling proofs_amod
2993,test ground system performance,"['No change', 'No change', 'No change']",No change,No change,No change
2994,operate heavy construction machinery without supervision,"['construction machinery_com', 'operate heavy construction machinery_obj', 'heavy construction machinery without supervision_amod']",construction machinery_com,operate heavy construction machinery_obj,heavy construction machinery without supervision_amod
3000,develop methodologies for supplier evaluation,"['supplier evaluation_com', 'develop methodologies_obj', 'No change']",supplier evaluation_com,develop methodologies_obj,No change
3001,adapt artistic plan to location,"['No change', 'No change', 'adapt artistic plan_amod']",No change,No change,adapt artistic plan_amod
3003,apply machine cutting techniques for footwear and leather goods,"['machine cutting_com', 'apply machine cutting techniques_obj', 'No change']",machine cutting_com,apply machine cutting techniques_obj,No change
3009,adapt lifestyle to perform at the highest level in sport,"['No change', 'No change', 'adapt lifestyle_amod']",No change,No change,adapt lifestyle_amod
3010,oversee logistics of finished products,"['No change', 'oversee logistics_obj', 'finished products_amod']",No change,oversee logistics_obj,finished products_amod
3012,work in a forestry team,"['forestry team_com', 'No change', 'No change']",forestry team_com,No change,No change
3013,dispose of hazardous waste,"['No change', 'No change', 'hazardous waste_amod']",No change,No change,hazardous waste_amod
3014,develop chiropractic treatment plans,"['treatment plans_com', 'No change', 'chiropractic treatment plans_amod']",treatment plans_com,No change,chiropractic treatment plans_amod
3016,develop preventive maintenance procedures for instruments,"['maintenance procedures_com', 'develop preventive maintenance procedures_obj', 'preventive maintenance procedures for instruments_amod']",maintenance procedures_com,develop preventive maintenance procedures_obj,preventive maintenance procedures for instruments_amod
3018,advise on property value,"['property value_com', 'No change', 'No change']",property value_com,No change,No change
3019,assess environmental impact in aquaculture operations,"['aquaculture operations_com', 'assess environmental impact_obj', 'environmental impact in aquaculture operations_amod']",aquaculture operations_com,assess environmental impact_obj,environmental impact in aquaculture operations_amod
3022,inform on safety standards,"['safety standards_com', 'No change', 'No change']",safety standards_com,No change,No change
3024,follow newspaper house style,"['newspaper house style_com', 'No change', 'follow newspaper_amod']",newspaper house style_com,No change,follow newspaper_amod
3025,provide fertilizer recommendation for flowers,"['fertilizer recommendation_com', 'provide fertilizer recommendation_obj', 'No change']",fertilizer recommendation_com,provide fertilizer recommendation_obj,No change
3027,use different communication channels,"['communication channels_com', 'No change', 'different communication channels_amod']",communication channels_com,No change,different communication channels_amod
3028,set up aquaculture cage mooring system,"['aquaculture cage mooring system_com', 'No change', 'No change']",aquaculture cage mooring system_com,No change,No change
3033,develop new bakery products,"['bakery products_com', 'No change', 'new bakery products_amod']",bakery products_com,No change,new bakery products_amod
3034,provide an enriching environment for animals,"['enriching environment_com', 'provide an enriching environment_obj', 'No change']",enriching environment_com,provide an enriching environment_obj,No change
3035,use pipeline video equipment,"['pipeline video equipment_com', 'No change', 'No change']",pipeline video equipment_com,No change,No change
3039,side effects of radiotherapy treatment,"['side effects_com', 'No change', 'No change']",side effects_com,No change,No change
3040,conduct quality control analysis,"['quality control analysis_com', 'No change', 'No change']",quality control analysis_com,No change,No change
3041,ensure animal welfare in slaughtering practices,"['animal welfare_com', 'No change', 'No change']",animal welfare_com,No change,No change
3042,monitor the transfer of oil,"['No change', 'monitor the transfer_obj', 'No change']",No change,monitor the transfer_obj,No change
3044,metal polishing machine parts,"['metal polishing_com', 'No change', 'polishing machine parts_amod']",metal polishing_com,No change,polishing machine parts_amod
3045,perform ground maintenance activities,"['ground maintenance activities_com', 'No change', 'No change']",ground maintenance activities_com,No change,No change
3046,monitor quality of broadcasts,"['No change', 'monitor quality_obj', 'No change']",No change,monitor quality_obj,No change
3048,perform technical sound check,"['sound check_com', 'No change', 'technical sound check_amod']",sound check_com,No change,technical sound check_amod
3049,enable access to services,"['No change', 'enable access_obj', 'No change']",No change,enable access_obj,No change
3050,communicate with stakeholders to anticipate increases in demand for transport,"['No change', 'communicate with stakeholders to anticipate increases_obj', 'No change']",No change,communicate with stakeholders to anticipate increases_obj,No change
3052,decide on loan applications,"['loan applications_com', 'No change', 'No change']",loan applications_com,No change,No change
3054,examine cell specimens microscopically,"['cell specimens_com', 'No change', 'examine cell_amod']",cell specimens_com,No change,examine cell_amod
3055,share good practices across subsidiaries,"['No change', 'share good practices_obj', 'good practices across subsidiaries_amod']",No change,share good practices_obj,good practices across subsidiaries_amod
3056,develop professional identity in social work,"['No change', 'develop professional identity_obj', 'professional identity in social work_amod']",No change,develop professional identity_obj,professional identity in social work_amod
3057,analyse fish samples for diagnosis,"['fish samples_com', 'No change', 'analyse fish_amod']",fish samples_com,No change,analyse fish_amod
3059,assess the compatibility of individuals and animals to work together,"['No change', 'assess the compatibility_obj', 'No change']",No change,assess the compatibility_obj,No change
3061,restore art using scientific methods,"['No change', 'No change', 'scientific methods_amod']",No change,No change,scientific methods_amod
3073,use diagnostic tools for electronic repairs,"['No change', 'use diagnostic tools_obj', 'diagnostic tools for electronic repairs_amod']",No change,use diagnostic tools_obj,diagnostic tools for electronic repairs_amod
3076,provide sedation to animals,"['No change', 'provide sedation_obj', 'No change']",No change,provide sedation_obj,No change
3078,control pumping operations in petroleum production,"['petroleum production_com', 'control pumping operations_obj', 'No change']",petroleum production_com,control pumping operations_obj,No change
3080,operate precision measuring equipment,"['No change', 'No change', 'measuring equipment_amod']",No change,No change,measuring equipment_amod
3083,translate chemical innovations in pragmatic terms,"['chemical innovations_com', 'No change', 'translate chemical_amod']",chemical innovations_com,No change,translate chemical_amod
3086,regulations for international transportation,"['No change', 'No change', 'international transportation_amod']",No change,No change,international transportation_amod
3089,provide advocacy interpreting services,"['No change', 'No change', 'No change']",No change,No change,No change
3093,biomedical scientists' role in health care system,"['health care system_com', 'No change', 'biomedical scientists_amod']",health care system_com,No change,biomedical scientists_amod
3098,demonstrate technical skills during neurological surgery,"['No change', 'demonstrate technical skills_obj', 'technical skills during neurological surgery_amod']",No change,demonstrate technical skills_obj,technical skills during neurological surgery_amod
3099,ensure trains run to schedule,"['No change', 'No change', 'No change']",No change,No change,No change
3101,identify progression of disease,"['No change', 'identify progression_obj', 'No change']",No change,identify progression_obj,No change
3102,act as a company ambassador,"['company ambassador_com', 'No change', 'No change']",company ambassador_com,No change,No change
3104,use manual draughting techniques,"['No change', 'No change', 'manual draughting techniques_amod']",No change,No change,manual draughting techniques_amod
3105,follow-up actions resulting from railway facilities inspections,"['railway facilities inspections_com', 'No change', 'No change']",railway facilities inspections_com,No change,No change
3113,fruit and vegetables maceration,"['No change', 'No change', 'No change']",No change,No change,No change
3116,supervise the management of an establishment,"['No change', 'supervise the management_obj', 'No change']",No change,supervise the management_obj,No change
3117,apply tobacco manufacturing requirements,"['tobacco manufacturing requirements_com', 'No change', 'No change']",tobacco manufacturing requirements_com,No change,No change
3120,promote youth work in the local community,"['youth work_com', 'promote youth work_obj', 'local community_amod']",youth work_com,promote youth work_obj,local community_amod
3121,confer with event staff,"['event staff_com', 'No change', 'No change']",event staff_com,No change,No change
3125,strain paper on mould,"['No change', 'strain paper_obj', 'No change']",No change,strain paper_obj,No change
3128,types of plastering materials,"['No change', 'No change', 'No change']",No change,No change,No change
3129,identify undetected organisational needs,"['No change', 'No change', 'undetected organisational needs_amod']",No change,No change,undetected organisational needs_amod
3134,update design results during rehearsals,"['design results_com', 'update design results_obj', 'No change']",design results_com,update design results_obj,No change
3135,advise clients on moving services,"['No change', 'No change', 'No change']",No change,No change,No change
3137,use geographic information systems,"['information systems_com', 'No change', 'geographic information systems_amod']",information systems_com,No change,geographic information systems_amod
3138,"empower individuals, families and groups","['empower individuals,families_com', 'No change', 'No change']","empower individuals,families_com",No change,No change
3142,conduct research on climate processes,"['climate processes_com', 'conduct research_obj', 'No change']",climate processes_com,conduct research_obj,No change
3144,parts of a surface grinding machine,"['No change', 'No change', 'grinding machine_amod']",No change,No change,grinding machine_amod
3147,minimise environmental impact on the surrounding area,"['No change', 'No change', 'minimise environmental impact_amod']",No change,No change,minimise environmental impact_amod
3149,measure the impact of specific aquaculture activity,"['aquaculture activity_com', 'measure the impact_obj', 'specific aquaculture activity_amod']",aquaculture activity_com,measure the impact_obj,specific aquaculture activity_amod
3152,manage adverse reactions to anaesthesia,"['No change', 'manage adverse reactions_obj', 'adverse reactions to anaesthesia_amod']",No change,manage adverse reactions_obj,adverse reactions to anaesthesia_amod
3155,create game testing software,"['game testing software_com', 'No change', 'No change']",game testing software_com,No change,No change
3157,natural gas liquids recovery processes,"['gas liquids recovery processes_com', 'No change', 'natural gas_amod']",gas liquids recovery processes_com,No change,natural gas_amod
3158,design wayside signalling interlockings,"['design wayside_com', 'wayside signalling interlockings_obj', 'No change']",design wayside_com,wayside signalling interlockings_obj,No change
3159,control the production of game meat for human consumption,"['game meat_com', 'control the production_obj', 'human consumption_amod']",game meat_com,control the production_obj,human consumption_amod
3167,saw off filament mandrel pins,"['filament mandrel pins_com', 'No change', 'No change']",filament mandrel pins_com,No change,No change
3170,follow interpreting quality standards,"['quality standards_com', 'No change', 'No change']",quality standards_com,No change,No change
3171,meet expectations of target audience,"['target audience_com', 'meet expectations_obj', 'No change']",target audience_com,meet expectations_obj,No change
3182,design job analysis tools,"['No change', 'No change', 'No change']",No change,No change,No change
3183,liaise with well test engineers,"['test engineers_com', 'No change', 'well test engineers_amod']",test engineers_com,No change,well test engineers_amod
3185,follow ethical code of conduct of gambling,"['No change', 'follow ethical code_obj', 'ethical code of conduct of gambling_amod']",No change,follow ethical code_obj,ethical code of conduct of gambling_amod
3187,perform small vessel safety measures,"['vessel safety measures_com', 'No change', 'small vessel safety measures_amod']",vessel safety measures_com,No change,small vessel safety measures_amod
3189,develop solutions to information issues,"['information issues_com', 'develop solutions_obj', 'No change']",information issues_com,develop solutions_obj,No change
3190,monitor service users' health,"['service users_com', 'No change', 'No change']",service users_com,No change,No change
3191,ensure cost efficiency in food manufacturing,"['cost efficiency_com', 'ensure cost efficiency_obj', 'No change']",cost efficiency_com,ensure cost efficiency_obj,No change
3195,inform clients of healthy lifestyle benefits,"['lifestyle benefits_com', 'inform clients_obj', 'healthy lifestyle benefits_amod']",lifestyle benefits_com,inform clients_obj,healthy lifestyle benefits_amod
3196,develop rubber crumb slurry,"['rubber crumb slurry_com', 'No change', 'No change']",rubber crumb slurry_com,No change,No change
3198,safe horseback riding principles,"['No change', 'No change', 'safe horseback_amod']",No change,No change,safe horseback_amod
3199,provide customers with order information,"['order information_com', 'provide customers_obj', 'No change']",order information_com,provide customers_obj,No change
3200,manage electronic logistics for sound equipment,"['No change', 'manage electronic logistics_obj', 'electronic logistics for sound equipment_amod']",No change,manage electronic logistics_obj,electronic logistics for sound equipment_amod
3201,correctly handle the disposal of chemicals,"['No change', 'handle the disposal_obj', 'No change']",No change,handle the disposal_obj,No change
3205,use technology for forensics,"['No change', 'use technology_obj', 'No change']",No change,use technology_obj,No change
3209,manage fluid production in gas,"['No change', 'manage fluid production_obj', 'fluid production in gas_amod']",No change,manage fluid production_obj,fluid production in gas_amod
3211,demand excellence from performers,"['No change', 'demand excellence_obj', 'No change']",No change,demand excellence_obj,No change
3212,research locations for wind farms,"['research locations_com', 'No change', 'No change']",research locations_com,No change,No change
3213,develop site remediation strategies,"['site remediation strategies_com', 'No change', 'No change']",site remediation strategies_com,No change,No change
3214,help coordinate promotional activities,"['No change', 'No change', 'promotional activities_amod']",No change,No change,promotional activities_amod
3215,operate laser cutting equipment,"['laser cutting equipment_com', 'No change', 'No change']",laser cutting equipment_com,No change,No change
3216,monitor moving workpiece in a machine,"['No change', 'No change', 'No change']",No change,No change,No change
3217,apply methods for footwear and leather goods manufacturing,"['leather goods manufacturing_com', 'apply methods_obj', 'No change']",leather goods manufacturing_com,apply methods_obj,No change
3218,install lift shaft support equipment,"['lift shaft support equipment_com', 'No change', 'No change']",lift shaft support equipment_com,No change,No change
3223,interpret sport games rules,"['sport games rules_com', 'No change', 'No change']",sport games rules_com,No change,No change
3227,design training programmes for animals,"['design training programmes_com', 'No change', 'No change']",design training programmes_com,No change,No change
3230,revise certifications for dangerous good transportation,"['revise certifications_com', 'No change', 'dangerous good transportation_amod']",revise certifications_com,No change,dangerous good transportation_amod
3231,socio-economic trends in your sector,"['No change', 'No change', 'socio-economic trends_amod']",No change,No change,socio-economic trends_amod
3233,advise on timber-based products,"['No change', 'No change', 'timber-based products_amod']",No change,No change,timber-based products_amod
3234,provide input to collaborators to guide their work,"['No change', 'No change', 'No change']",No change,No change,No change
3237,apply flame handling regulations,"['handling regulations_com', 'No change', 'flame handling regulations_amod']",handling regulations_com,No change,flame handling regulations_amod
3238,gas contaminant removal processes,"['gas contaminant_com', 'No change', 'contaminant removal processes_amod']",gas contaminant_com,No change,contaminant removal processes_amod
3239,provide expertise on tanker operations,"['tanker operations_com', 'provide expertise_obj', 'No change']",tanker operations_com,provide expertise_obj,No change
3241,manage airport vehicle licences,"['airport vehicle licences_com', 'No change', 'No change']",airport vehicle licences_com,No change,No change
3242,administer anaesthetics to patients,"['No change', 'No change', 'administer anaesthetics_amod']",No change,No change,administer anaesthetics_amod
3243,theory of art therapy,"['art therapy_com', 'No change', 'No change']",art therapy_com,No change,No change
3244,roles of supporting team for community arts programme,"['community arts programme_com', 'No change', 'supporting team for community arts programme_amod']",community arts programme_com,No change,supporting team for community arts programme_amod
3245,find trends in geographic data,"['No change', 'find trends_obj', 'geographic data_amod']",No change,find trends_obj,geographic data_amod
3249,work from suspended access cradle,"['access cradle_com', 'No change', 'suspended access cradle_amod']",access cradle_com,No change,suspended access cradle_amod
3252,diagnostic methods in medical laboratory,"['No change', 'No change', 'diagnostic methods_amod']",No change,No change,diagnostic methods_amod
3253,monitor patients' progress related to treatment,"['No change', ""monitor patients ' progress_obj"", 'No change']",No change,monitor patients ' progress_obj,No change
3254,assist with book events,"['book events_com', 'No change', 'No change']",book events_com,No change,No change
3257,draw conclusions from market research results,"['market research results_com', 'draw conclusions_obj', 'No change']",market research results_com,draw conclusions_obj,No change
3260,define manufacturing quality criteria,"['quality criteria_com', 'No change', 'manufacturing quality criteria_amod']",quality criteria_com,No change,manufacturing quality criteria_amod
3261,torch temperature for metal processes,"['torch temperature_com', 'No change', 'No change']",torch temperature_com,No change,No change
3262,prepare environment for veterinary surgery,"['No change', 'prepare environment_obj', 'veterinary surgery_amod']",No change,prepare environment_obj,veterinary surgery_amod
3267,create cultural venue learning strategies,"['venue learning strategies_com', 'No change', 'cultural venue learning strategies_amod']",venue learning strategies_com,No change,cultural venue learning strategies_amod
3270,understand supply chain improvements in relation to profit gains,"['supply chain improvements_com', 'No change', 'No change']",supply chain improvements_com,No change,No change
3271,maintain an artistic portfolio,"['No change', 'No change', 'artistic portfolio_amod']",No change,No change,artistic portfolio_amod
3273,sell gaming activities on the floor,"['gaming activities_com', 'sell gaming activities_obj', 'No change']",gaming activities_com,sell gaming activities_obj,No change
3275,apply phosphate coating to metal workpiece,"['phosphate coating_com', 'apply phosphate coating_obj', 'No change']",phosphate coating_com,apply phosphate coating_obj,No change
3276,describe the financial situation of a region,"['No change', 'describe the financial situation_obj', 'financial situation of a region_amod']",No change,describe the financial situation_obj,financial situation of a region_amod
3279,maintain ore processing equipment,"['ore processing equipment_com', 'No change', 'No change']",ore processing equipment_com,No change,No change
3283,use manual sewing techniques,"['sewing techniques_com', 'No change', 'manual sewing techniques_amod']",sewing techniques_com,No change,manual sewing techniques_amod
3287,provide testimony in court hearings,"['court hearings_com', 'provide testimony_obj', 'No change']",court hearings_com,provide testimony_obj,No change
