,preferredLabel_x,Reduced_pref_seperate_en,Reduced_pref_com,Reduced_pref_obj,Reduced_pref_amod
125,check sensorial parameters of oils and fats,"['No change', 'check sensorial parameters_obj', 'sensorial parameters of oils and fats_amod']",No change,check sensorial parameters_obj,sensorial parameters of oils and fats_amod
128,schedule maintenance of airport electrical systems,"['schedule maintenance_com', 'No change', 'electrical systems_amod']",schedule maintenance_com,No change,electrical systems_amod
129,provide pre-hospital emergency care of trauma,"['emergency care_com', 'provide pre - hospital emergency care_obj', 'hospital emergency care of trauma_amod']",emergency care_com,provide pre - hospital emergency care_obj,hospital emergency care of trauma_amod
131,carry out event management,"['event management_com', 'No change', 'No change']",event management_com,No change,No change
134,work in an economically efficient manner,"['No change', 'No change', 'efficient manner_amod']",No change,No change,efficient manner_amod
136,develop leather goods collection,"['leather goods collection_com', 'No change', 'No change']",leather goods collection_com,No change,No change
137,create solutions to problems,"['No change', 'create solutions_obj', 'No change']",No change,create solutions_obj,No change
139,assess cage water quality,"['cage water quality_com', 'No change', 'No change']",cage water quality_com,No change,No change
140,understand the architecture of a live performance,"['No change', 'understand the architecture_obj', 'live performance_amod']",No change,understand the architecture_obj,live performance_amod
141,apply electrolytes to cathodes and anodes,"['No change', 'apply electrolytes_obj', 'No change']",No change,apply electrolytes_obj,No change
145,guide ships into docks,"['No change', 'guide ships_obj', 'No change']",No change,guide ships_obj,No change
149,operate a forecourt site,"['forecourt site_com', 'No change', 'No change']",forecourt site_com,No change,No change
152,interact with programmer on intention of consultancy work,"['consultancy work_com', 'No change', 'No change']",consultancy work_com,No change,No change
158,hygiene in a health care setting,"['health care setting_com', 'No change', 'No change']",health care setting_com,No change,No change
161,keep up with digital transformation of industrial processes,"['No change', 'No change', 'digital transformation of industrial processes_amod']",No change,No change,digital transformation of industrial processes_amod
163,perform manual spiral binding,"['No change', 'No change', 'manual spiral binding_amod']",No change,No change,manual spiral binding_amod
164,place orders for orthopedic products,"['place orders_com', 'No change', 'orthopedic products_amod']",place orders_com,No change,orthopedic products_amod
166,monitor flour unloading equipment,"['No change', 'No change', 'unloading equipment_amod']",No change,No change,unloading equipment_amod
169,organise homecare for patients,"['organise homecare_com', 'No change', 'No change']",organise homecare_com,No change,No change
172,check quality of enamel,"['No change', 'check quality_obj', 'No change']",No change,check quality_obj,No change
176,respond to changing situations in health care,"['health care_com', 'respond to changing situations_obj', 'No change']",health care_com,respond to changing situations_obj,No change
179,manage freight payment methods,"['freight payment methods_com', 'No change', 'No change']",freight payment methods_com,No change,No change
180,keep food laboratory inventory,"['food laboratory inventory_com', 'No change', 'No change']",food laboratory inventory_com,No change,No change
186,set up office equipment,"['office equipment_com', 'No change', 'No change']",office equipment_com,No change,No change
187,advise on bankruptcy proceedings,"['bankruptcy proceedings_com', 'No change', 'No change']",bankruptcy proceedings_com,No change,No change
188,sell processed timber in a commercial environment,"['No change', 'sell processed timber_obj', 'processed timber in a commercial environment_amod']",No change,sell processed timber_obj,processed timber in a commercial environment_amod
190,develop policies for nutritional programs,"['No change', 'develop policies_obj', 'nutritional programs_amod']",No change,develop policies_obj,nutritional programs_amod
192,take advantage of learning opportunities in veterinary science,"['No change', 'take advantage of learning opportunities_obj', 'veterinary science_amod']",No change,take advantage of learning opportunities_obj,veterinary science_amod
193,support harmed social service users,"['service users_com', 'harmed social service users_obj', 'social service users_amod']",service users_com,harmed social service users_obj,social service users_amod
194,use an application-specific interface,"['No change', 'No change', 'application-specific interface_amod']",No change,No change,application-specific interface_amod
196,weld in hyperbaric conditions,"['No change', 'No change', 'hyperbaric conditions_amod']",No change,No change,hyperbaric conditions_amod
198,operate concrete casting machine,"['No change', 'No change', 'concrete casting machine_amod']",No change,No change,concrete casting machine_amod
199,promote fitness customer referral,"['fitness customer referral_com', 'No change', 'No change']",fitness customer referral_com,No change,No change
202,carry out inventory planning,"['inventory planning_com', 'No change', 'No change']",inventory planning_com,No change,No change
203,compose energy performance contracts,"['energy performance contracts_com', 'No change', 'No change']",energy performance contracts_com,No change,No change
204,pass on trade techniques,"['trade techniques_com', 'No change', 'No change']",trade techniques_com,No change,No change
208,prepare livestock for artificial insemination,"['No change', 'prepare livestock_obj', 'artificial insemination_amod']",No change,prepare livestock_obj,artificial insemination_amod
209,operate production drilling machine,"['production drilling machine_com', 'No change', 'No change']",production drilling machine_com,No change,No change
210,carry out quality control in microbiology laboratories,"['quality control_com', 'carry out quality control_obj', 'No change']",quality control_com,carry out quality control_obj,No change
211,operate warehouse record systems,"['warehouse record systems_com', 'No change', 'No change']",warehouse record systems_com,No change,No change
213,perform upholstery restoration of classic cars,"['No change', 'perform upholstery restoration_obj', 'upholstery restoration of classic cars_amod']",No change,perform upholstery restoration_obj,upholstery restoration of classic cars_amod
214,supervise medical office support workers,"['office support workers_com', 'No change', 'medical office support workers_amod']",office support workers_com,No change,medical office support workers_amod
215,follow detailed procedures for relocating specific goods,"['No change', 'No change', 'detailed procedures for relocating specific goods_amod']",No change,No change,detailed procedures for relocating specific goods_amod
217,materials in porcelain manufacturing,"['porcelain manufacturing_com', 'No change', 'No change']",porcelain manufacturing_com,No change,No change
220,carry out shellfish depuration procedures,"['shellfish depuration procedures_com', 'No change', 'No change']",shellfish depuration procedures_com,No change,No change
225,produce materials for decision making,"['decision making_com', 'produce materials_obj', 'No change']",decision making_com,produce materials_obj,No change
227,coordinate manufacturing production activities,"['production activities_com', 'No change', 'manufacturing production activities_amod']",production activities_com,No change,manufacturing production activities_amod
230,supervise employees in food production plants,"['food production plants_com', 'supervise employees_obj', 'No change']",food production plants_com,supervise employees_obj,No change
232,repair insulating tube winding machinery,"['tube winding machinery_com', 'No change', 'insulating tube winding machinery_amod']",tube winding machinery_com,No change,insulating tube winding machinery_amod
234,operate patients with thoracic diseases,"['thoracic diseases_com', 'operate patients_obj', 'No change']",thoracic diseases_com,operate patients_obj,No change
235,assess environmental influences on bovine feet,"['No change', 'assess environmental influences_obj', 'environmental influences on bovine feet_amod']",No change,assess environmental influences_obj,environmental influences on bovine feet_amod
239,put adhesive on plies,"['No change', 'put adhesive_obj', 'No change']",No change,put adhesive_obj,No change
242,handle bulk transfer of raw material,"['No change', 'handle bulk transfer_obj', 'bulk transfer of raw material_amod']",No change,handle bulk transfer_obj,bulk transfer of raw material_amod
243,critique the dive with the dive team,"['No change', 'critique the dive_obj', 'dive team_amod']",No change,critique the dive_obj,dive team_amod
245,use CAD for soles,"['No change', 'use CAD_obj', 'No change']",No change,use CAD_obj,No change
246,perform online data analysis,"['data analysis_com', 'No change', 'online data analysis_amod']",data analysis_com,No change,online data analysis_amod
247,create floor plan template,"['floor plan template_com', 'No change', 'No change']",floor plan template_com,No change,No change
248,test paper production samples,"['No change', 'No change', 'No change']",No change,No change,No change
249,manage land resources permits,"['land resources permits_com', 'No change', 'No change']",land resources permits_com,No change,No change
250,negotiate with suppliers for visual material,"['No change', 'No change', 'visual material_amod']",No change,No change,visual material_amod
251,manage process of flexographic print,"['No change', 'manage process_obj', 'flexographic print_amod']",No change,manage process_obj,flexographic print_amod
252,electrical mine machinery manuals,"['mine machinery manuals_com', 'No change', 'electrical mine_amod']",mine machinery manuals_com,No change,electrical mine_amod
254,load animals for transportation,"['No change', 'load animals_obj', 'No change']",No change,load animals_obj,No change
257,handle refrigerant transfer pumps,"['refrigerant transfer pumps_com', 'No change', 'No change']",refrigerant transfer pumps_com,No change,No change
263,carry out products preparation,"['products preparation_com', 'No change', 'No change']",products preparation_com,No change,No change
265,operate oil pumping systems,"['oil pumping systems_com', 'No change', 'No change']",oil pumping systems_com,No change,No change
267,understand the animal's situation,"['No change', 'No change', 'No change']",No change,No change,No change
268,molecular and cellular immunology,"['No change', 'No change', 'molecular and cellular immunology_amod']",No change,No change,molecular and cellular immunology_amod
270,identify the dietetic professional quality of care,"['No change', 'identify the dietetic professional quality_obj', 'dietetic professional quality of care_amod']",No change,identify the dietetic professional quality_obj,dietetic professional quality of care_amod
275,remove snow from airport operational areas,"['No change', 'remove snow_obj', 'operational areas_amod']",No change,remove snow_obj,operational areas_amod
278,calculate optimal time for insemination,"['No change', 'calculate optimal time_obj', 'optimal time for insemination_amod']",No change,calculate optimal time_obj,optimal time for insemination_amod
279,translate keywords into full texts,"['translate keywords_com', 'No change', 'full texts_amod']",translate keywords_com,No change,full texts_amod
280,lead the dental team,"['No change', 'No change', 'dental team_amod']",No change,No change,dental team_amod
282,apply related sciences to music therapy,"['music therapy_com', 'apply related sciences_obj', 'related sciences to music therapy_amod']",music therapy_com,apply related sciences_obj,related sciences to music therapy_amod
288,demonstrate proficiency in packaging standards,"['packaging standards_com', 'demonstrate proficiency_obj', 'No change']",packaging standards_com,demonstrate proficiency_obj,No change
289,advise on consumer rights,"['consumer rights_com', 'No change', 'No change']",consumer rights_com,No change,No change
295,manage a healthcare unit budget,"['healthcare unit budget_com', 'No change', 'No change']",healthcare unit budget_com,No change,No change
296,cultivate crops for biomass,"['No change', 'cultivate crops_obj', 'No change']",No change,cultivate crops_obj,No change
297,protection from natural elements,"['No change', 'No change', 'natural elements_amod']",No change,No change,natural elements_amod
298,general principles of food law,"['food law_com', 'No change', 'general principles_amod']",food law_com,No change,general principles_amod
299,manage technical aspects of vineyard production,"['vineyard production_com', 'manage technical aspects_obj', 'technical aspects of vineyard production_amod']",vineyard production_com,manage technical aspects_obj,technical aspects of vineyard production_amod
300,use a water-fed pole system,"['pole system_com', 'No change', 'water-fed pole system_amod']",pole system_com,No change,water-fed pole system_amod
301,manage sport facility finances,"['sport facility finances_com', 'No change', 'No change']",sport facility finances_com,No change,No change
305,place orders for clothing merchandise,"['place orders_com', 'No change', 'No change']",place orders_com,No change,No change
306,operate tissue sheet binder,"['tissue sheet binder_com', 'No change', 'No change']",tissue sheet binder_com,No change,No change
308,cooperate with education professionals,"['education professionals_com', 'No change', 'No change']",education professionals_com,No change,No change
310,technical equipment for crop production,"['crop production_com', 'No change', 'technical equipment_amod']",crop production_com,No change,technical equipment_amod
312,safe use of pesticides,"['No change', 'No change', 'safe use_amod']",No change,No change,safe use_amod
313,respond to visitor complaints,"['visitor complaints_com', 'No change', 'No change']",visitor complaints_com,No change,No change
314,stock tobacco products machines with materials,"['stock tobacco products machines_com', 'No change', 'No change']",stock tobacco products machines_com,No change,No change
317,electron beam welding machine parts,"['electron beam welding_com', 'welding machine parts_obj', 'No change']",electron beam welding_com,welding machine parts_obj,No change
318,work in an international environment,"['No change', 'No change', 'international environment_amod']",No change,No change,international environment_amod
321,ensure compliance with port regulations,"['port regulations_com', 'ensure compliance_obj', 'No change']",port regulations_com,ensure compliance_obj,No change
329,start up chocolate moulding line,"['chocolate moulding line_com', 'No change', 'No change']",chocolate moulding line_com,No change,No change
330,calculate costs of repair operations,"['repair operations_com', 'calculate costs_obj', 'No change']",repair operations_com,calculate costs_obj,No change
331,manage different pottery materials,"['pottery materials_com', 'No change', 'different pottery materials_amod']",pottery materials_com,No change,different pottery materials_amod
332,interpret scientific data to assess water quality,"['water quality_com', 'No change', 'scientific data to assess water quality_amod']",water quality_com,No change,scientific data to assess water quality_amod
336,plan procedures for cargo operations,"['cargo operations_com', 'plan procedures_obj', 'No change']",cargo operations_com,plan procedures_obj,No change
339,mechanical forging press parts,"['press parts_com', 'forging press parts_obj', 'mechanical forging_amod']",press parts_com,forging press parts_obj,mechanical forging_amod
341,identify physical characteristics of performer,"['No change', 'identify physical characteristics_obj', 'physical characteristics of performer_amod']",No change,identify physical characteristics_obj,physical characteristics of performer_amod
342,manufacture textile floor coverings,"['textile floor coverings_com', 'No change', 'No change']",textile floor coverings_com,No change,No change
346,monitor conditions affecting train movement,"['train movement_com', 'No change', 'No change']",train movement_com,No change,No change
348,market trends in sporting equipment,"['market trends_com', 'trends in sporting equipment_obj', 'No change']",market trends_com,trends in sporting equipment_obj,No change
352,organise participation in international events,"['No change', 'organise participation_obj', 'international events_amod']",No change,organise participation_obj,international events_amod
